"freq","word1"
989,"foot"
989,"portland"
989,"serve"
988,"block"
987,"currently"
987,"effort"
987,"healthy"
986,"bag"
986,"statement"
984,"romney"
983,"pop"
983,"vs"
981,"rose"
980,"isn"
977,"credit"
977,"filled"
977,"wedding"
976,"brain"
975,"rate"
975,"spirit"
974,"ah"
974,"regular"
974,"wasn"
972,"train"
970,"drop"
970,"economic"
970,"eight"
969,"built"
969,"unless"
968,"caught"
964,"loving"
964,"official"
961,"worse"
960,"slow"
959,"gas"
958,"austin"
958,"onto"
958,"river"
956,"winner"
954,"thats"
952,"smith"
950,"joe"
949,"science"
948,"culture"
948,"potential"
948,"teachers"
948,"throw"
947,"dreams"
945,"rich"
943,"keeping"
943,"rules"
943,"throughout"
940,"ability"
940,"cook"
939,"doubt"
939,"station"
938,"senior"
937,"apple"
936,"base"
936,"doctor"
934,"mike"
934,"shoes"
933,"normal"
933,"speaking"
932,"increase"
932,"soul"
931,"defense"
929,"finding"
927,"economy"
926,"secret"
926,"yo"
925,"lived"
924,"content"
924,"included"
924,"novel"
923,"central"
923,"closed"
923,"lets"
922,"tree"
921,"easily"
921,"lines"
919,"eventually"
918,"clearly"
918,"fish"
918,"marketing"
918,"picked"
918,"property"
917,"artist"
916,"christ"
916,"respect"
915,"easier"
915,"particular"
913,"bus"
913,"gold"
912,"comments"
911,"brand"
911,"stopped"
910,"address"
910,"creative"
910,"florida"
910,"skin"
908,"quarter"
908,"ten"
907,"fantastic"
906,"collection"
905,"legal"
904,"reasons"
903,"older"
902,"conversation"
902,"search"
901,"groups"
901,"posted"
898,"baseball"
897,"showed"
895,"walked"
894,"orange"
892,"mail"
888,"roll"
887,"indeed"
887,"popular"
887,"realized"
887,"towards"
886,"lack"
885,"items"
885,"previous"
884,"helping"
884,"numbers"
883,"oregon"
883,"turns"
882,"cross"
882,"london"
882,"marriage"
881,"immediately"
881,"letter"
881,"uk"
879,"effect"
879,"manager"
878,"bout"
878,"network"
878,"parts"
877,"count"
877,"various"
876,"latest"
876,"leaders"
876,"none"
875,"butter"
874,"camera"
871,"access"
870,"laugh"
870,"reported"
869,"bet"
868,"dry"
868,"policy"
868,"wake"
867,"families"
867,"headed"
867,"terms"
866,"shoot"
866,"union"
865,"modern"
865,"related"
864,"wide"
863,"george"
863,"web"
862,"risk"
860,"annual"
859,"receive"
858,"cat"
858,"lake"
857,"heading"
857,"pink"
857,"studio"
857,"wild"
856,"holy"
856,"republican"
856,"square"
854,"clothes"
854,"twice"
853,"agreed"
853,"corner"
853,"fashion"
852,"yea"
850,"writer"
849,"advice"
849,"shirt"
846,"areas"
846,"island"
846,"production"
845,"cancer"
845,"exciting"
844,"bay"
844,"committee"
844,"draft"
844,"drinking"
844,"grand"
844,"lower"
844,"notice"
844,"particularly"
843,"hang"
843,"response"
841,"election"
841,"obviously"
841,"served"
841,"traffic"
840,"goals"
839,"somewhere"
838,"knowledge"
838,"leaves"
838,"standing"
838,"ugh"
837,"january"
836,"customers"
836,"joy"
836,"opened"
835,"app"
835,"fourth"
835,"salt"
835,"successful"
833,"episode"
832,"employees"
832,"festival"
831,"dogs"
831,"hill"
831,"prices"
830,"toward"
830,"yay"
829,"includes"
829,"mouth"
828,"announced"
827,"christian"
827,"surprise"
826,"safety"
825,"heavy"
825,"opinion"
823,"classes"
823,"shall"
822,"tom"
821,"stuck"
820,"agency"
820,"broken"
820,"married"
820,"surprised"
819,"audience"
818,"subject"
817,"delicious"
816,"model"
815,"cash"
814,"military"
814,"trouble"
813,"al"
813,"costs"
811,"evidence"
810,"match"
810,"nobody"
809,"growth"
808,"crowd"
807,"pizza"
807,"talked"
806,"holding"
806,"signed"
805,"pages"
804,"china"
804,"knowing"
802,"direction"
801,"attorney"
801,"considered"
801,"window"
800,"award"
797,"downtown"
796,"owner"
795,"plenty"
795,"pre"
794,"executive"
794,"screen"
793,"cases"
793,"excellent"
793,"rd"
792,"concert"
792,"los"
792,"skills"
791,"justice"
791,"november"
790,"random"
788,"spread"
787,"decide"
787,"tells"
786,"names"
785,"battle"
784,"tip"
782,"everyday"
781,"milk"
781,"pull"
780,"jack"
780,"plays"
779,"attack"
778,"creating"
777,"thinks"
775,"notes"
774,"ai"
774,"published"
774,"showing"
773,"charge"
773,"enjoying"
773,"mayor"
772,"beauty"
772,"broke"
771,"slightly"
771,"smart"
769,"forgot"
769,"individual"
769,"museum"
769,"shut"
769,"singing"
768,"basketball"
768,"easter"
768,"kinda"
768,"records"
767,"americans"
767,"classic"
766,"bread"
766,"leading"
766,"likes"
766,"stars"
763,"professional"
761,"approach"
761,"bigger"
761,"crime"
761,"keeps"
760,"cars"
760,"covered"
760,"ladies"
760,"shout"
757,"avoid"
756,"inspired"
754,"drug"
754,"shooting"
753,"boston"
753,"century"
753,"cry"
753,"source"
752,"happening"
752,"overall"
751,"necessary"
751,"section"
750,"officer"
750,"ourselves"
749,"helps"
749,"impact"
749,"planned"
749,"seat"
748,"celebrate"
748,"posts"
747,"amazon"
747,"fill"
747,"required"
745,"addition"
745,"becoming"
745,"valley"
744,"em"
744,"ends"
744,"leader"
744,"shots"
743,"ff"
743,"grade"
743,"robert"
742,"december"
742,"miami"
742,"physical"
742,"range"
741,"british"
741,"nyc"
739,"flight"
738,"movement"
738,"pulled"
738,"readers"
738,"reports"
738,"score"
738,"unfortunately"
738,"willing"
737,"flowers"
737,"management"
736,"offers"
736,"steve"
735,"dm"
735,"justin"
735,"whom"
734,"famous"
734,"stock"
733,"greatest"
733,"offered"
733,"stick"
732,"mentioned"
731,"cooking"
730,"changing"
730,"magic"
730,"possibly"
729,"digital"
728,"kick"
728,"promise"
727,"artists"
727,"raised"
726,"fighting"
726,"limited"
726,"losing"
726,"sauce"
726,"sky"
725,"alive"
725,"arrived"
725,"degree"
725,"nine"
724,"code"
724,"february"
724,"highly"
724,"unique"
723,"teaching"
721,"adding"
721,"literally"
721,"noticed"
720,"golden"
720,"purpose"
720,"turning"
719,"closer"
718,"copy"
718,"moments"
716,"contract"
716,"johnson"
716,"lately"
715,"seconds"
714,"speed"
713,"global"
713,"insurance"
713,"paying"
713,"wind"
711,"buying"
711,"paint"
710,"benefit"
710,"gorgeous"
709,"raise"
709,"somebody"
708,"organization"
708,"parking"
708,"programs"
708,"remain"
708,"residents"
707,"nfl"
707,"usual"
706,"bright"
706,"traditional"
705,"features"
705,"freedom"
704,"talent"
703,"afraid"
703,"explain"
702,"bottle"
702,"boyfriend"
702,"competition"
701,"memories"
701,"mobile"
700,"failed"
698,"becomes"
698,"gym"
